type:,Year,transmission:,odometer:,Model,VIN:,fuel:,drive:,Price,title status:,cylinders:,paint color:,condition:
truck,2011,automatic,139000," ford f350 super duty lariat
",,diesel,4wd,28000,clean,8 cylinders,white,excellent
SUV,2008,automatic,157000," Toyota RAV4 Standard
",JTMZD33V585088479,gas,fwd,6000,clean,4 cylinders,blue,excellent
SUV,2013,automatic,170310," Chevrolet Suburban 1/2 Ton LT
",1GNSCJE07DR126282,gas,rwd,8900,clean,8 cylinders,black,good
coupe,1971,automatic,1857," chevy camaro
",124871N504937,gas,rwd,37000,lien,8 cylinders,orange,good
SUV,2010,automatic,144180," Ford Expedition Eddie Bauer
",1FMJU1H57AEA99852,gas,rwd,7900,clean,8 cylinders,blue,good
sedan,2009,automatic,149062," Chevrolet Malibu LT/2LT
",1G1ZJ57749F185337,gas,fwd,4500,clean,6 cylinders,silver,good
SUV,2003,automatic,205000," toyota sequoia
",,gas,,2000,clean,,white,good
sedan,2011,automatic,174594," Ford Focus SE
",1FAHP3FN2BW147817,gas,fwd,3900,clean,4 cylinders,grey,fair
SUV,2012,automatic,158324," Lincoln MKX
",2LMDJ6JK6CBL13235,gas,fwd,8900,clean,6 cylinders,black,excellent
convertible,1981,automatic,146000," Mercedes Benz SL380
",,gas,rwd,10500,clean,8 cylinders,silver,excellent
sedan,2011,automatic,20," volkswagen jetta
",,gas,fwd,7350,rebuilt,4 cylinders,blue,like new
sedan,2009,automatic,179247," Mercedes-Benz E350
",WDBUF56X89B373675,gas,rwd,4900,clean,6 cylinders,black,good
SUV,2014,automatic,128670," Ford Escape Titanium
",1FMCU9J96EUD03945,gas,4wd,8900,clean,4 cylinders,black,excellent
sedan,2016,automatic,125738," Toyota Corolla L/LE
",2T1BURHEXGC500135,gas,fwd,9900,clean,4 cylinders,black,excellent
sedan,2002,automatic,69802," honda civic lx
",,gas,fwd,6995,clean,4 cylinders,silver,excellent
pickup,2000,automatic,22100," ford f-250
",,diesel,4wd,14000,clean,8 cylinders,white,good
sedan,2013,automatic,117000," bmw 328i coupe
",,gas,,2800,clean,,,
pickup,2004,automatic,175000," chevrolet silverado
",,gas,4wd,5200,clean,,,
hatchback,2011,automatic,176706," mini cooper hardtop
",,gas,fwd,4000,clean,4 cylinders,blue,good
bus,2018,automatic,87000," Chevrolet Bus
",1HA6GUBB0JN002407,other,fwd,12500,clean,8 cylinders,white,excellent
,2001,automatic,456893," Ford F550
",,diesel,rwd,13000,clean,8 cylinders,white,good
pickup,2014,automatic,176128," gmc sierra 1500
",1GTN1TEC3EZ398489,gas,rwd,7500,clean,8 cylinders,white,excellent
pickup,1960,manual,51000," C 20 Chevy
",,gas,rwd,15000,clean,6 cylinders,green,good
pickup,2008,automatic,76357," toyota tacoma prerunner v6
",,gas,rwd,16000,clean,6 cylinders,silver,excellent
hatchback,2008,automatic,87300," Mini Cooper
",WMWMF33558TT67766,gas,fwd,3000,clean,4 cylinders,blue,good
sedan,2009,automatic,148000," chevrolet impala ls
",,gas,rwd,2500,clean,6 cylinders,red,excellent
hatchback,2017,automatic,111000," Mitsubishi Mirage ES 1.2L 3Cyl
",,gas,fwd,5499,clean,4 cylinders,purple,good
SUV,2009,automatic,136000," Nissan Murano 3.5L 6Cyl
",,gas,fwd,5299,clean,6 cylinders,red,good
sedan,2014,automatic,160000," Chevy Impala Limited 3.6L 6Cyl
",,gas,fwd,4999,rebuilt,6 cylinders,grey,good
SUV,2013,automatic,104000," Chevrolet Equinox 1LT
",2GNALDEK6D6263451,gas,fwd,4700,clean,4 cylinders,black,excellent
SUV,2001,automatic,200000," toyota 4runner
",,gas,4wd,10999,clean,6 cylinders,,good
